id,sector,industry_group,industry,sub_industry,description
20102010,Industrials,Capital Goods,Building Products,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
20103010,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,Companies engaged in primarily non-residential construction. Includes civil engineering companies and large-scale contractors. Excludes companies classified in the Homebuilding Sub-Industry.
20104010,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry."
20104020,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of power-generating equipment and other heavy electrical equipment, including power turbines, heavy electrical machinery intended for fixed-use and large electrical systems. Excludes cables and wires, classified in the Electrical Components & Equipment Sub-Industry."
20105010,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
20106010,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,"Manufacturers of heavy duty trucks, rolling machinery, earth-moving and construction equipment, and manufacturers of related parts. Includes non-military shipbuilding."
20106015,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,"Companies manufacturing agricultural machinery, farm machinery, and their related parts. Includes machinery used for the production of crops and agricultural livestock, agricultural tractors, planting and fertilizing machinery, fertilizer and chemical application equipment, and grain dryers and blowers."
20106020,Industrials,Capital Goods,Machinery,Industrial Machinery,"Manufacturers of industrial machinery and industrial components. Includes companies that manufacture presses, machine tools, compressors, pollution control equipment, elevators, escalators, insulators, pumps, roller bearings and other metal fabrications."
20107010,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors,Trading companies and other distributors of industrial equipment and products.
20201010,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Commercial Printing,Companies providing commercial printing services. Includes printers primarily serving the media industry.
20201050,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,"Companies providing environmental and facilities maintenance services. Includes waste management, facilities management and pollution control services.  Excludes large-scale water treatment systems classified in the Water Utilities Sub-Industry."
20201060,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Office Services & Supplies,Providers of office services and manufacturers of office supplies and equipment not classified elsewhere.
20201070,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services,"Companies primarily providing labor oriented support services to businesses and governments.  Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services."
20201080,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Security & Alarm Services,"Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armored transportation & guarding.  Excludes companies providing security software classified under the Systems Software Sub-Industry and home security services classified under the Specialized Consumer Services Sub-Industry. Also excludes companies manufacturing security system equipment classified under the Electronic Equipment & Instruments Sub-Industry. "
20202010,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services,"Companies providing business support services relating to human capital management. Includes employment agencies, employee training, payroll & benefit support services, retirement support services and temporary agencies."
20202020,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services,"Companies primarily providing research and consulting services to businesses and governments not classified elsewhere.  Includes companies involved in management consulting services, architectural design, business information or scientific research, marketing, and testing & certification services. Excludes companies providing information technology consulting services classified in the IT Consulting & Other Services Sub-Industry."
20301010,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries."
20302010,Industrials,Transportation,Airlines,Airlines,Companies providing primarily passenger air transportation.
20303010,Industrials,Transportation,Marine,Marine,"Companies providing goods or passenger maritime transportation. Excludes cruise-ships classified in the Hotels, Resorts & Cruise Lines Sub-Industry."
20304010,Industrials,Transportation,Road & Rail,Railroads,Companies providing primarily goods and passenger rail  transportation.
20304020,Industrials,Transportation,Road & Rail,Trucking,Companies providing primarily goods and passenger land transportation. Includes vehicle rental and taxi companies.
20305010,Industrials,Transportation,Transportation Infrastructure,Airport Services,Operators of airports and companies providing related services.
20305020,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks,"Owners and operators of roads, tunnels and railtracks."
20305030,Industrials,Transportation,Transportation Infrastructure,Marine Ports & Services,Owners and operators of marine ports and related services.
25101010,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.
25101020,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber,Manufacturers of tires and rubber.
25102010,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the Motorcycle Manufacturers Sub-Industry and heavy duty trucks classified in the Construction Machinery & Heavy Trucks Sub-Industry.
25102020,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers,"Companies that produce motorcycles, scooters or three-wheelers. Excludes bicycles classified in the Leisure Products Sub-Industry. "
25201010,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics,"Manufacturers of consumer electronics products including TVs, home audio equipment, game consoles, digital cameras, and related products. Excludes personal home computer manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry, and electric household appliances classified in the Household Appliances Sub-Industry."
25201020,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Manufacturers of soft home furnishings or furniture, including upholstery, carpets and wall-coverings."
25201030,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,Residential construction companies. Includes manufacturers of prefabricated houses and semi-fixed manufactured homes.
25201040,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,"Manufacturers of electric household appliances and related products.  Includes manufacturers of power and hand tools, including garden improvement tools.  Excludes TVs and other audio and video products classified in the Consumer Electronics Sub-Industry and personal computers classified in the Technology Hardware, Storage & Peripherals Sub-Industry."
25201050,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties,"Manufacturers of durable household products, including cutlery, cookware, glassware, crystal, silverware, utensils, kitchenware and consumer specialties not classified elsewhere."
25202010,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,"Manufacturers of leisure products and equipment includingsports equipment, bicycles and toys."
25203010,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewelry and watches. Excludes shoes classified in the Footwear Sub-Industry."
25203020,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear,Manufacturers of footwear. Includes sport and leather shoes.
25203030,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Textiles,"Manufacturers of textile and related products not classified in the Apparel, Accessories & Luxury Goods, Footwear or Home Furnishings Sub-Industries."
25301010,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,Owners and operators of casinos and gaming facilities. Includes companies providing lottery and betting services.
25301020,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry."
25301030,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities,"Owners and operators of leisure facilities, including sport and fitness centers, stadiums, golf courses and amusement parks not classified in the Movies & Entertainment Sub-Industry."
25301040,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,"Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services."
25302010,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,"Companies providing educational services, either on-line or through conventional teaching methods. Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the Human Resources & Employment Services Sub-Industry"
25302020,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,"Companies providing consumer services not classified elsewhere.  Includes residential services, home security, legal services, personal services, renovation & interior design services, consumer auctions and wedding & funeral services."
25501010,Consumer Discretionary,Retailing,Distributors,Distributors,Distributors and wholesalers of general merchandise not classified elsewhere. Includes vehicle distributors.
25502020,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,"Companies  providing  retail  services  primarily  on  the Internet, through mail order, and TV home shopping retailers. Also includes companies providing online marketplaces for consumer products and services."
25503010,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,Owners and operators of department stores.
25503020,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,Owners and operators of stores offering diversified general merchandise. Excludes hypermarkets and large-scale super centers classified in the Hypermarkets & Super Centers Sub-Industry.
25504010,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,Retailers specialized mainly in apparel and accessories.
25504020,Consumer Discretionary,Retailing,Specialty Retail,Computer &Electronics Retail,"Owners and operators of consumer electronics, computers, video and related products retail stores."
25504030,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,Owners and operators of home and garden improvement retail stores. Includes stores offering building materials and supplies.
25504040,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,"Owners and operators of specialty retail stores not classified elsewhere. Includes jewelry stores, toy stores, office supply stores, health & vision care stores, and book & entertainment stores."
25504050,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,"Ownersand operators of stores specializing in automotive retail.  Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts."
25504060,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail,"Owners and operators of furniture and home furnishings retail stores.  Includes residential furniture, homefurnishings, housewares, and interior design.  Excludes home and garden improvement stores, classified in the Home Improvement Retail Sub-Industry."
30101010,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail,Owners and operators of primarily drug retail stores and pharmacies.
30101020,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors,Distributors of food products to other companies and not directly to the consumer.
30101030,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail,Owners and operators of primarily food retail stores.
30101040,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,"Owners and operators of hypermarkets and super centers selling food and a wide-range of consumer staple products.  Excludes Food and Drug Retailers classified in the Food Retail and Drug Retail Sub-Industries, respectively."
30201010,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,Producers of beer and malt liquors. Includes breweries not classified in the Restaurants Sub-Industry.
30201020,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,"Distillers, vintners and producers of alcoholic beverages not classified in the Brewers Sub-Industry."
30201030,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,Producers of non-alcoholic beverages including mineral waters. Excludes producers of milk classified in the Packaged Foods Sub-Industry.
30202010,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products,"Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludescompanies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods Sub-Industry."
30202030,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Producers of packaged foods including dairy products, fruit juices, meats, poultry, fish and pet foods."
30203010,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,Manufacturers of cigarettes and other tobacco products.
30301010,Consumer Staples,Household & Personal Products,Household Products,Household Products,"Producers of non-durable household products, including detergents, soaps, diapers and other tissue and household paper products not classified in the Paper Products Sub-Industry."
30302010,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,"Manufacturers of personal and beauty care products, including cosmetics and perfumes."
35101010,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
35101020,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,"Manufacturers of health care supplies and medical products not classified elsewhere. Includes eye care products, hospital supplies, and safety needle & syringe devices."
35102010,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,Distributors and wholesalers of health care products not classified elsewhere. 
35102015,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,"Providers of patient health care services not classified elsewhere. Includes dialysis centers, lab testing services, and pharmacy management services. Also includes companies providing business support services to health care providers, such as clerical support services, collection agency services, staffing services and outsourced sales & marketing services"
35102020,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities,"Owners and operatorsof health care facilities, including hospitals, nursing homes, rehabilitation centers and animal hospitals."
35102030,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,Owners and operators of Health Maintenance Organizations (HMOs) and other managed plans.
35103010,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology,"Companies providing information technology services primarily to health care providers.  Includes companies providing application, systems and/or data processing software, internet-based tools, and IT consulting services to doctors, hospitals or businesses operating primarily in the Health Care Sector"
35201010,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,"Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering.  Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application."
35202010,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
35203010,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,"Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services.  Includes firms primarily servicing the pharmaceutical and biotechnology industries."
40101010,Financials,Banks,Banks,Diversified Banks,"Large, geographically diverse banks with a national footprint whose revenues are derived primarily from conventional banking operations, have significant business activity in retail banking and small and medium corporate lending, and provide a diverse range of financial services.  Excludes banks classified in the Regional Banks and Thrifts & Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry."
40101015,Financials,Banks,Banks,Regional Banks,Commercial banks whose businesses are derived primarily from conventional banking operations and have significant business activity in retail banking and small and medium corporate lending. Regional banks tend to operate in limited geographic regions. Excludes companies classified in the Diversified Banks and Thrifts & Mortgage Banks sub-industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry.
40102010,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,"Financial institutions providing mortgage and mortgage related services.  These include financial institutions whose assets are primarily mortgage related, savings & loans, mortgage lending institutions, building societies and companies providing insurance to mortgage banks."
40201020,Financials,Diversified Financials,Diversified Financial Services,Other Diversified Financial Services,"Providers of a diverse range of financial services and/or with some interest in a wide range of financial services including banking, insurance and capital markets, but with no dominant business line. Excludes companies classified in the Regional Banks and Diversified Banks Sub-Industries."
40201030,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,"A company with significantly diversified holdings across three or more sectors, none of which contributes a majority of profit and/or sales. Stakes held are predominantly of a non-controlling nature.  Includes diversified financial companies where stakes held are of a controlling nature. Excludes other diversified companies classified in the Industrials Conglomerates Sub-Industry."
40201040,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance,"Providers  of  specialized  financial  services  not  classified  elsewhere. Companies  in  this  sub-industry  derive  a  majority  of  revenue  from  one  specialized  line  of  business. Includes,  but  not  limited  to,  commercial  financing  companies,  central  banks,  leasing  institutions, factoring services, and specialty boutiques. Excludes companies classified in the Financial Exchanges & Data sub-industry."
40202010,Financials,Diversified Financials,Consumer Finance,Consumer Finance,"Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops.  Excludes mortgage lenders classified in the Thrifts & Mortgage Finance Sub-Industry."
40203010,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,"Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts.  Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities. "
40203020,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,"Financial institutions primarily engaged in investment banking & brokerage services, including equity and debt underwriting, mergers and acquisitions, securities lending and advisory services. Excludes banks and other financial institutions primarily involved in commercial lending, asset management and specialized financial activities. "
